supporter_id,display_name,status,churn_risk_score,churn_risk_tier
1,Mila Alvarez,Active,0.02525175025838641,Low
2,Aria Brown,Active,0.18635653828082155,Low
3,Noah Chen,Active,0.05620988455988456,Low
4,Liam Diaz,Active,0.018623342116820377,Low
5,Emma Evans,Active,0.0596194253937086,Low
6,Olivia Ford,Active,0.022107442557442552,Low
7,Ethan Garcia,Active,0.03219477068824895,Low
8,Isla Hernandez,Active,0.0200897733464095,Low
9,Sophia Ibrahim,Active,0.027130766893924785,Low
10,Lucas Jones,Active,0.06554554605667137,Low
11,Maya Kim,Active,0.10117283543396076,Low
12,Ella Lopez,Active,0.02589043379706995,Low
13,Hope Group,Active,0.08204618042775938,Low
14,Owen Nguyen,Active,0.9169751082251082,High
15,Zoe Ortiz,Active,0.8996773182957395,High
16,Iris Patel,Active,0.2028626888553932,Low
17,Hana Quinn,Active,0.9087793040293041,High
18,Theo Reed,Active,0.11995649391887783,Low
19,Nora Singh,Active,0.07347279587943203,Low
20,Ezra Taylor,Active,0.06183540669856459,Low
21,June Usman,Active,0.15166999316473,Low
22,Nico Vasquez,Active,0.14559181532262022,Low
23,Ria White,Active,0.8732489177489178,High
24,Sean Xu,Active,0.04917615596963423,Low
25,Tina Young,Active,0.010205213461849619,Low
26,Margo Zhang,Active,0.01470329991645781,Low
27,Jules Abe,Active,0.07392606440686937,Low
28,Pia Baker,Active,0.9617857142857144,High
29,Seth Clark,Active,0.0997010580884992,Low
30,Rina Davis,Active,0.13017254683367216,Low
31,Jon Edwards,Active,0.02525790200138026,Low
32,Luz Fisher,Active,0.04865993417972822,Low
33,Tara Green,Active,0.11519363618837303,Low
34,Mia Hill,Active,0.23350501253132833,Low
35,Jose Inoue,Active,0.050022054515532766,Low
36,Lara Johnson,Active,0.6768235019366599,High
37,Rae Klein,Active,0.8115002731186942,High
38,Faith Partners,Active,0.05128517126148705,Low
39,Ben Morris,Active,0.29081125582363976,Low
40,Lena Nash,Active,0.2762522315146154,Low
41,Cleo Owens,Active,0.7970000265435047,High
42,Finn Price,Active,0.2344029342824806,Low
43,Hugo Ross,Active,0.160052071694776,Low
44,Vera Stone,Active,0.05706583504215082,Low
45,Noel Turner,Active,0.1257066754501537,Low
46,Faith Alliance,Inactive,0.7489655459779299,High
47,Kaya Ward,Inactive,0.6929771977383231,High
48,Ian Xu,Inactive,0.8770317139001349,High
49,Faye Yu,Inactive,0.9135848813209495,High
50,Bright Foundation,Inactive,0.8799761365188407,High
51,Mira Bello,Inactive,0.811227330976557,High
52,Cole Cruz,Inactive,0.8445186468121251,High
53,Dina DelosReyes,Inactive,0.9364972527472527,High
54,Sara Escobar,Inactive,0.8029833333333333,High
55,Kian Farah,Inactive,0.855484375102022,High
56,Lyle Gomez,Inactive,0.9149483805668016,High
57,Paz Hale,Inactive,0.8031050865162119,High
58,Rico Iglesias,Inactive,0.985052947052947,High
59,Lea Jain,Inactive,0.9122221199852777,High
60,Tess Khan,Inactive,0.815522818079454,High
